"mp_id","Longitude","Latitude","Concentration.Class","speed_sum","speed_avg","ve_avg","vn_avg","buoy_count","measurement_count"
16207,-28.5041,21.9925,"Medium",66.5334961756157,16.6333740439039,-10.7848712316583,-1.04918873484759,1,4
16208,-23.7028,21.6291,"Medium",61.7425376688474,20.5808458896158,-14.4075466512602,-0.709777768013104,1,3
16209,-26.3147,22.2563,"Medium",18.9299565217391,18.9299565217391,-8.6931231884058,-1.26570289855072,1,1
16210,-32.4867,22.7833,"Medium",262.070150614469,16.3793844134043,-7.69438805143473,0.369425722022573,1,16
16211,-38.7475,22.89,"Medium",445.695571590093,14.8565190530031,-5.8100404107397,0.0631919389377664,1,30
16212,-29.5747,23.0055,"Medium",44.0134341418511,14.6711447139504,-4.07760326152365,-0.574727810218886,1,3
16213,-36.6333,23.0333,"Low",156.537333956463,13.0447778297053,-4.57695085918044,-1.23295236399329,1,12
16214,-31,23.08,"Low",89.7663691957481,14.9610615326247,-5.35305904825404,0.297750041607382,1,6
16215,-35.6167,23.5167,"Low",398.938152228447,14.7754871195721,-4.03500236394689,-0.965467104569484,1,27
16216,-30.0531,23.0758,"Medium",62.218131546708,15.554532886677,-5.48549909705518,-2.12489768803432,1,4
16217,-40.355,21.8567,"Medium",135.792786053315,15.0880873392572,-5.46027390570424,-1.41279993405235,1,9
16218,-29.5553,21.8869,"Medium",30.8153526519477,15.4076763259738,-9.29563372351225,-1.70642026709809,1,2
16219,-40.826,22.0817,"Medium",555.482945110119,14.61797223974,-5.76123298786372,0.451542121560487,1,38
16220,-35.78,22.2,"Medium",143.564104920374,15.9515672133749,-6.54094478777149,-0.0966040463225579,1,9
16221,-29.7342,22.4948,"Medium",46.5626953782095,15.5208984594032,-8.37394353766673,1.31491426941167,1,3
16222,-31.7097,22.5915,"Medium",78.9377277856269,15.7875455571254,-9.14619078946947,-0.0211341383142296,1,5
16223,-31.305,22.6762,"Medium",42.2344269916725,14.0781423305575,-7.51173423750518,-0.77596233822861,1,3
16224,-32.7038,21.4817,"Medium",80.9769833166123,16.1953966633225,-7.67408505873114,-0.596969890054176,1,5
16225,-36.0567,21.5256,"Very Low",46.9219885891886,15.6406628630629,-5.31848800828801,-0.0865098383098377,1,3
16226,-29.8333,21.55,"Medium",115.985769904136,14.498221238017,-6.02290935588036,-0.234618971976461,1,8
16227,-31.2643,21.505,"Medium",80.9800783796377,16.1960156759275,-8.18940979132838,-0.509128971350503,1,5
16228,-32.5617,21.3517,"Medium",48.197005942814,16.0656686476047,-6.45446251998154,-1.00746349338311,1,3
16229,-36.7888,21.5053,"Medium",89.0065838998551,17.801316779971,-9.85052172482512,1.93140212865194,1,5
16230,-32.5263,21.7028,"Low",52.7970741074068,17.5990247024689,-5.90250834639945,0.204775767095088,1,3
16238,101.8928,12.5728,"Medium",15.61275,15.61275,1.19625,14.9891666666667,1,1
16243,102.7556,12.0383,"Medium",77.200427184466,77.200427184466,7.14620388349515,-67.6653786407767,1,1
16244,102.7694,11.9967,"Medium",489.424218166813,81.5707030278022,1.8341140251707,-77.455367785905,1,6
16248,100.8411,12.7422,"Medium",21.1238,21.1238,6.4426,18.9116,1,1
16250,100.8667,12.8986,"Medium",19.07775,19.07775,3.545875,18.2795,1,1
16251,100.8822,12.9358,"Medium",33.6,16.8,2.98804761904762,16.4705,1,2
16259,99.9986,12.3608,"Medium",987.289200472593,24.6822300118148,11.7438342647171,-5.52302794299493,1,40
16260,101.4256,12.6178,"Very High",16.1592727272727,16.1592727272727,10.1354545454545,12.0264545454545,1,1
16261,101.3875,12.61,"High",38.7568333333333,19.3784166666667,9.25272916666666,16.0245625,1,2
16266,92.0292,21.3297,"Medium",3263.67927389102,26.3199941442824,1.76382216443121,-1.86395177531174,1,124
16267,92.0292,21.3297,"Medium",1492.23412648214,23.686255975907,3.2812382120743,1.58353431860807,1,63
16278,99.9797,12.2497,"Medium",68.2441666666667,34.1220833333334,18.5320833333334,27.1099166666667,1,2
16283,99.8253,10.0888,"Low",205.055247405372,22.7839163783747,-9.54579984737484,18.6596797279881,1,9
16284,99.6311,11.4917,"Medium",121.548769298246,24.3097538596491,7.0653267251462,17.7742684795322,1,5
16285,99.6611,11.5658,"Low",301.173396305668,30.1173396305668,16.7114611184211,6.69335815620783,1,10
16286,99.6428,11.5289,"Low",167.591053731689,23.941579104527,4.49442086802844,-0.518547148145467,1,7
16287,99.6342,11.5089,"Low",356.972913207569,23.7981942138379,5.84263534752774,-2.16756208686909,1,15
